	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
8412	YES		TRUE		whirl	whirl	event	eng-30-02047857-v	fly around	eng-30-07442068-n	confused movement	MS
8413	YES	ion	FALSE		somnambulate	somnambulation	event	eng-30-01916960-v	walk in one's sleep	eng-30-00285141-n	walking by a person who is asleep	MS
8414	YES	er	FALSE		wipe	wiper	instrument	eng-30-01392237-v	rub with a circular motion	eng-30-04593866-n	contact consisting of a conducting arm that rotates over a series of fixed contacts and comes to rest on an outlet	MS
8415	YES	ation	FALSE		bother	botheration	state	eng-30-01787955-v	cause annoyance in; disturb, especially by minor irritations	eng-30-14406573-n	the psychological state of being irritated or annoyed	MS
8419	YES	ion	FALSE		attenuate	attenuation	event	eng-30-00220701-v	become weaker, in strength, value, or magnitude	eng-30-07427534-n	weakening in force or intensity	MS
8420	YES		TRUE		return	return	event	eng-30-02004874-v	go or come back to place, condition, or activity where one has been before	eng-30-00328015-n	the act of going back to a prior location	MS
8421	YES	ence	FALSE		offend	offence	event	eng-30-02566528-v	act in disregard of laws, rules, contracts, or promises	eng-30-00766234-n	(criminal law) an act punishable by law; usually considered an evil act	MS
8422	YES		TRUE		overwork	overwork	event	eng-30-02409148-v	work excessively hard	eng-30-00623370-n	the act of working too much or too long	MS
8423	YES	ition	FALSE		acquire	acquisition	event	eng-30-00597915-v	gain knowledge or skills	eng-30-05752544-n	the cognitive process of acquiring skill or knowledge	MS
8424	YES	er	FALSE		prune	pruner	instrument	eng-30-01321002-v	cultivate, tend, and cut back the growth of	eng-30-04016240-n	a long-handled pruning saw with a curved blade at the end and sometimes a clipper; used to prune small trees	MS
8425	YES	ation	FALSE		declaim	declamation	event	eng-30-01051364-v	recite in elocution	eng-30-07242470-n	recitation of a speech from memory with studied gestures and intonation as an exercise in elocution or rhetoric	MS
8426	YES		TRUE	ZeroV	kit	kit	uses	eng-30-02341200-v	supply with a set of articles or tools	eng-30-03619396-n	gear consisting of a set of articles or tools for a specified purpose	MS
8427	YES		TRUE	ZeroV	witness	witness	agent	eng-30-02128286-v	be a witness to	eng-30-10786033-n	someone who sees an event and reports what happened	MS
8428	YES		TRUE	Zero	bound	bound	event	eng-30-01963942-v	move forward by leaps and bounds	eng-30-00120202-n	a light, self-propelled movement upwards or forwards	MS
8429	YES		TRUE	ZeroV	trespass	trespass	event	eng-30-02571251-v	enter unlawfully on someone's property	eng-30-00733483-n	entry to another's property without right or permission	MS
8430	YES		TRUE	ZeroV	ace	ace	agent	eng-30-02522581-v	succeed at easily	eng-30-09762509-n	someone who is dazzlingly skilled in any field	MS
8432	YES	ation	FALSE		excite	excitation	event	eng-30-00558963-v	produce a magnetic field in	eng-30-14036356-n	the neural or electrical arousal of an organ or muscle or gland	MS
8433	YES	ation	FALSE		collectivise	collectivisation	event	eng-30-02433767-v	bring under collective control; of farms and industrial enterprises	eng-30-01152787-n	the organization of a nation or economy on the basis of collectivism	MS
8434	YES		TRUE	ZeroV	park	park	location	eng-30-01934427-v	maneuver a vehicle into a parking space	eng-30-08615638-n	a lot where cars are parked	MS
8435	YES	ment	FALSE		embody	embodiment	event	eng-30-02740352-v	represent or express something abstract in tangible form	eng-30-05941210-n	a concrete representation of an otherwise nebulous concept	MS
8436	YES	ition	FALSE		predispose	predisposition	by-means-of	eng-30-00680692-v	make susceptible	eng-30-06200178-n	an inclination beforehand to interpret statements in a particular way	MS
8437	YES		TRUE		wane	wane	event	eng-30-00433778-v	decrease in phase	eng-30-13470491-n	a gradual decline (in size or strength or power or number)	MS
8438	YES	ation	FALSE		encrust	encrustation	result	eng-30-00255079-v	form a crust or a hard layer	eng-30-09260218-n	a hard outer layer that covers something	MS
8439	YES	sion	FALSE		readmit	readmission	event	eng-30-02390786-v	admit again or anew	eng-30-01248418-n	the act of admitting someone again	MS
8440	YES	er	FALSE		squander	squanderer	agent	eng-30-01158181-v	spend extravagantly	eng-30-10479561-n	a recklessly extravagant consumer	MS
8442	YES		TRUE	ZeroN	control	control	event	eng-30-02510337-v	lessen the intensity of; temper; hold in restraint; hold or keep within limits	eng-30-05641959-n	great skillfulness and knowledge of some subject or activity	MS
8443	YES	tion	FALSE		disjoin	disjunction	state	eng-30-01294182-v	become separated, disconnected or disjoint	eng-30-14417697-n	state of being disconnected	MS
8444	YES	er	FALSE		coax	coaxer	agent	eng-30-00768778-v	influence or urge by gentle urging, caressing, or flattering	eng-30-10775379-n	someone who tries to persuade by blandishment and coaxing	MS
8445	YES	ion	FALSE		regurgitate	regurgitation	event	eng-30-02069396-v	pour or rush back	eng-30-07406474-n	backflow of blood through a defective heart valve	MS
8446	YES	ation	FALSE		scandalise	scandalisation	event	eng-30-01810447-v	strike with disgust or revulsion	eng-30-01225397-n	the act of scandalizing	MS
8447	YES		TRUE	ZeroV	steel	steel	uses	eng-30-01614907-v	cover, plate, or edge with steel	eng-30-14802450-n	an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range	MS
8448	YES	er	FALSE		stand	stander	agent	eng-30-01546111-v	be standing; be upright	eng-30-10648033-n	an organism (person or animal) that stands	MS
8450	YES		TRUE	ZeroV	head	head	location	eng-30-01999423-v	travel in front of; go in advance of others	eng-30-08572467-n	the part in the front or nearest the viewer	MS
8451	YES	ation	FALSE		inform	information	uses	eng-30-00831651-v	impart knowledge of some fact, state or affairs, or event to	eng-30-08462320-n	a collection of facts from which conclusions may be drawn	MS
8452	YES	ation	FALSE		modify	modification	uses	eng-30-00171127-v	add a modifier to a constituent	eng-30-13800801-n	the grammatical relation that exists when a word qualifies the meaning of the phrase	MS
8455	YES		TRUE	ZeroN	rattle	rattle	undergoer	eng-30-01890626-v	shake and cause to make a rattling noise	eng-30-04056289-n	a baby's toy that makes percussive noises when shaken	MS
8456	YES	ation	FALSE		sediment	sedimentation	event	eng-30-01988755-v	deposit as a sediment	eng-30-11445395-n	the phenomenon of sediment or gravel accumulating	MS
8457	YES		TRUE	ZeroN	scatter	scatter	event	eng-30-02082690-v	strew or distribute over an area	eng-30-00369138-n	the act of scattering	MS
8458	YES		TRUE	Zero	leach	leach	event	eng-30-02071627-v	permeate or penetrate gradually	eng-30-13506587-n	the process of leaching	MS
8459	YES		TRUE	ZeroV	dose	dose	undergoer	eng-30-00084738-v	administer a drug to	eng-30-03225238-n	a measured portion of medicine taken at any one time	MS
8460	YES	er	FALSE		search	searcher	agent	eng-30-02153709-v	search or seek	eng-30-10575787-n	someone making a search or inquiry	MS
8461	YES	ion	FALSE		connect	connexion	event	eng-30-00713167-v	make a logical or causal connection	eng-30-05763916-n	the process of bringing ideas or events together in memory or imagination	MS
8462	YES	er	FALSE		dine	dinner	agent	eng-30-01167780-v	give dinner to; host for dinner	eng-30-08253815-n	a party of people assembled to have dinner together	MS
8463	YES		TRUE	ZeroN	blunder	blunder	event	eng-30-02566227-v	commit a faux pas or a fault or make a serious mistake	eng-30-00074790-n	an embarrassing mistake	MS
8464	YES		TRUE	ZeroN	lam	lam	event	eng-30-02075049-v	flee; take to one's heels; cut and run	eng-30-00060201-n	a rapid escape (as by criminals)	MS
8465	YES		TRUE	ZeroV	factor	factor	result	eng-30-00640385-v	resolve into factors	eng-30-13733402-n	one of two or more integers that can be exactly divided into another integer	MS
8466	YES	er	FALSE		herd	herder	agent	eng-30-02652158-v	keep, move, or drive animals	eng-30-10171567-n	someone who drives a herd	MS
8467	YES	ion	FALSE		confess	confession	by-means-of	eng-30-00819508-v	confess to a punishable or reprehensible deed, usually under pressure	eng-30-06472242-n	a written document acknowledging an offense and signed by the guilty party	MS
8469	YES		TRUE	ZeroN	gabble	gabble	event	eng-30-01036804-v	speak (about unimportant matters) rapidly and incessantly	eng-30-06610992-n	rapid and indistinct speech	MS
8470	YES	ation	FALSE		transplant	transplantation	event	eng-30-01530431-v	place the organ of a donor into the body of a recipient	eng-30-00693679-n	an operation moving an organ from one organism (the donor) to another (the recipient)	MS
8471	YES	ion	FALSE		obligate	obligation	by-means-of	eng-30-02506546-v	force somebody to do something	eng-30-01129920-n	the social force that binds you to the courses of action demanded by that force	MS
8472	YES	ation	FALSE		provoke	provocation	by-means-of	eng-30-01646866-v	evoke or provoke to appear or occur	eng-30-09184975-n	something that incites or provokes; a means of arousing or stirring to action	MS
8473	YES	ion	FALSE		emancipate	emancipation	event	eng-30-02496498-v	free from slavery or servitude	eng-30-01247413-n	freeing someone from the control of another; especially a parent's relinquishing authority and control over a minor child	MS
8474	YES		TRUE	ZeroV	volley	volley	event	eng-30-01598255-v	hit before it touches the ground	eng-30-00569733-n	a tennis return made by hitting the ball before it bounces	MS
8475	YES		TRUE	ZeroN	wiggle	wiggle	event	eng-30-01898282-v	move to and fro	eng-30-00349705-n	the act of wiggling	MS
8476	YES		TRUE	ZeroV	grimace	grimace	event	eng-30-00034288-v	contort the face to indicate a certain mental or emotional state	eng-30-06877578-n	a contorted facial expression	MS
8477	YES	ation	FALSE		improvise	improvisation	event	eng-30-02587895-v	manage in a makeshift way; do with whatever is at hand	eng-30-00178832-n	an unplanned expedient	MS
8478	YES	er	FALSE		airmail	airmailer	agent	eng-30-01032127-v	send or transport by airmail	eng-30-02690715-n	a mailer for airmail	MS
8479	YES	ation	FALSE		combine	combination	result	eng-30-01385170-v	gather in a mass, sum, or whole	eng-30-08272961-n	a group of people (often temporary) having a common purpose	MS
8480	YES	ment	FALSE		attach	attachment	event	eng-30-02538086-v	create social or emotional ties	eng-30-01212882-n	faithful support for a cause or political party or religion	MS
8481	YES		TRUE	ZeroN	address	address	location	eng-30-00990812-v	put an address on (an envelope)	eng-30-08491027-n	the place where a person or organization can be found or communicated with	MS
8482	YES	ation	FALSE		dispense	dispensation	undergoer	eng-30-02294436-v	administer or bestow, as in small portions	eng-30-13285714-n	a share that has been dispensed or distributed	MS
8483	YES		TRUE	ZeroV	tower	tower	by-means-of	eng-30-02696503-v	appear very large or occupy a commanding position	eng-30-13900422-n	anything that approximates the shape of a column or tower	MS
8484	YES	ation	FALSE		colonise	colonisation	event	eng-30-00414174-v	settle as colonists or establish a colony (in)	eng-30-01252280-n	the act of colonizing; the establishment of colonies	MS
8485	YES		TRUE	Zero	pitch	pitch	event	eng-30-01864634-v	move abruptly	eng-30-00337210-n	abrupt up-and-down motion (as caused by a ship or other conveyance)	MS
8486	YES	er	FALSE		warrant	warranter	agent	eng-30-00891936-v	stand behind and guarantee the quality, accuracy, or condition of	eng-30-10149527-n	one who provides a warrant or guarantee to another	MS
8487	YES		TRUE		incense	incense	by-means-of	eng-30-02126686-v	perfume especially with a censer	eng-30-14918994-n	a substance that produces a fragrant odor when burned	MS
8488	YES		TRUE	Zero	bolt	bolt	event	eng-30-02073714-v	run away; usually includes taking something or somebody along	eng-30-00204943-n	a sudden abandonment (as from a political party)	MS
8489	YES	ition	FALSE		compose	composition	result	eng-30-01705494-v	write music	eng-30-00939452-n	musical creation	MS
8490	YES		TRUE		wanton	wanton	agent	eng-30-02615451-v	indulge in a carefree or voluptuous way of life	eng-30-10766260-n	lewd or lascivious woman	MS
8491	YES		TRUE		warrant	warrant	by-means-of	eng-30-00891936-v	stand behind and guarantee the quality, accuracy, or condition of	eng-30-06685456-n	a written assurance that some product or service will be provided or will meet certain specifications	MS
8492	YES	ion	FALSE		paginate	pagination	event	eng-30-00949093-v	number the pages of a book or manuscript	eng-30-06258680-n	the system of numbering pages	MS
8493	YES		TRUE		camber	camber	result	eng-30-02035425-v	curve upward in the middle	eng-30-09213828-n	a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force	MS
8494	YES	or	FALSE		operate	operator	agent	eng-30-02443849-v	direct or control; projects, businesses, etc.	eng-30-10378780-n	someone who owns or operates a business	MS
8495	YES	ation	FALSE		focalise	focalisation	event	eng-30-02692335-v	concentrate on a particular place or spot	eng-30-13482781-n	the confinement of an infection to a limited area	MS
8496	YES		TRUE		substitute	substitute	agent	eng-30-02394662-v	act as a substitute	eng-30-10648237-n	someone who takes the place of another (as when things get dangerous or difficult)	MS
8497	YES	er	FALSE		journey	journeyer	agent	eng-30-01845720-v	undertake a journey or trip	eng-30-10771392-n	a traveler going on a trip	MS
8498	YES	ion	FALSE		radiate	radiation	event	eng-30-00436668-v	spread into new habitats and produce variety or variegate	eng-30-07439883-n	the spread of a group of organisms into new habitats	MS
8499	YES	er	FALSE		alphabetise	alphabetiser	agent	eng-30-00279239-v	arrange in alphabetical order	eng-30-09785409-n	a literate person who can arrange items in alphabetical order	MS
8500	YES		TRUE		account	account	result	eng-30-02265231-v	keep an account of	eng-30-06516955-n	an itemized statement of money owed for goods shipped or services rendered	MS
8501	YES		TRUE		impact	impact	event	eng-30-00137313-v	have an effect upon	eng-30-11414411-n	a forceful consequence; a strong effect	MS
8502	YES	ment	FALSE		confine	confinement	event	eng-30-02495038-v	deprive of freedom; take into confinement	eng-30-01146576-n	the act of restraining of a person's liberty by confining them	MS
